date,team_a,team_b,goals_a,goals_b,form_a,form_b,avg_goals_scored_a,avg_goals_conceded_a,avg_goals_scored_b,avg_goals_conceded_b,gd_form_a,gd_form_b,h2h_winner_a
2023-09-12,HC Vítkovice Ridera,Bílí Tygři Liberec,3,1,0.5,0.5555555555555556,3.5,3.25,3.7777777777777777,2.888888888888889,0.25,0.8888888888888888,0.5
2023-09-12,HC Motor České Budějovice,HC Olomouc,1,2,0.2857142857142857,0.45,1.8571428571428572,3.7142857142857144,2.2,2.4,-1.8571428571428572,-0.2,0.0
2023-09-12,BK Mladá Boleslav,HC Motor České Budějovice,4,2,0.3888888888888889,0.2857142857142857,2.6666666666666665,3.111111111111111,1.8571428571428572,3.7142857142857144,-0.4444444444444444,-1.8571428571428572,0.0
2023-09-12,HC Sparta Praha,Bílí Tygři Liberec,3,5,0.6428571428571429,0.5555555555555556,2.857142857142857,2.7142857142857144,3.7777777777777777,2.888888888888889,0.14285714285714285,0.8888888888888888,0.5
2023-09-12,Bílí Tygři Liberec,BK Mladá Boleslav,1,1,0.5555555555555556,0.3888888888888889,3.7777777777777777,2.888888888888889,2.6666666666666665,3.111111111111111,0.8888888888888888,-0.4444444444444444,0.5
2023-09-12,HC Kometa Brno,Rytíři Kladno,1,2,0.75,0.21428571428571427,3.5,2.7,1.7142857142857142,3.142857142857143,0.8,-1.4285714285714286,1.0
2023-09-13,BK Mladá Boleslav,HC Energie Karlovy Vary,2,5,0.5,0.65,2.6,2.6,2.8,2.3,0.0,0.5,0.3333333333333333
2023-09-13,HC Vítkovice Ridera,HC Motor České Budějovice,3,3,0.6,0.2222222222222222,3.4,2.8,1.7777777777777777,3.5555555555555554,0.6,-1.7777777777777777,0.5
2023-09-13,HC Sparta Praha,BK Mladá Boleslav,4,0,0.5625,0.5,2.875,3.0,2.6,2.6,-0.125,0.0,0.5
2023-09-13,HC Litvínov,HC Škoda Plzeň,3,3,0.3,0.4,2.3,2.8,3.2,3.6,-0.5,-0.4,0.5
2023-09-13,HC Oceláři Třinec,BK Mladá Boleslav,6,3,0.65,0.5,4.8,3.5,2.6,2.6,1.3,0.0,1.0
2023-09-13,HC Vítkovice Ridera,HC Sparta Praha,9,3,0.6,0.5625,3.4,2.8,2.875,3.0,0.6,-0.125,0.0
2023-09-14,HC Dynamo Pardubice,HC Litvínov,2,1,0.6,0.25,3.6,2.7,2.3,3.0,0.9,-0.7,1.0
2023-09-14,HC Litvínov,HC Sparta Praha,0,3,0.25,0.55,2.3,3.0,3.0,3.3,-0.7,-0.3,0.0
2023-09-14,HC Dynamo Pardubice,HC Motor České Budějovice,3,1,0.6,0.25,3.6,2.7,1.9,3.5,0.9,-1.6,0.5
2023-09-14,Mountfield HK,HC Motor České Budějovice,1,3,0.8,0.25,3.6,2.8,1.9,3.5,0.8,-1.6,0.5
2023-09-14,HC Sparta Praha,HC Energie Karlovy Vary,3,3,0.55,0.75,3.0,3.3,3.2,2.3,-0.3,0.9,0.0
2023-09-14,HC Energie Karlovy Vary,Rytíři Kladno,4,1,0.75,0.3125,3.2,2.3,1.75,2.875,0.9,-1.125,0.5
2023-09-15,HC Oceláři Třinec,HC Dynamo Pardubice,5,5,0.65,0.6,5.1,3.7,3.2,2.5,1.4,0.7,0.5
2023-09-15,HC Motor České Budějovice,HC Kometa Brno,2,4,0.3,0.65,2.0,3.2,3.4,2.8,-1.2,0.6,0.0
2023-09-15,HC Sparta Praha,HC Kometa Brno,2,3,0.5,0.65,2.6,3.2,3.4,2.8,-0.6,0.6,0.5
2023-09-15,Mountfield HK,HC Olomouc,4,2,0.6666666666666666,0.5,3.1666666666666665,2.8333333333333335,2.0,2.1,0.3333333333333333,-0.1,1.0
2023-09-15,Mountfield HK,HC Litvínov,2,2,0.6666666666666666,0.15,3.1666666666666665,2.8333333333333335,1.6,2.9,0.3333333333333333,-1.3,0.5
2023-09-15,HC Škoda Plzeň,HC Oceláři Třinec,3,3,0.35,0.65,3.1,3.6,5.1,3.7,-0.5,1.4,1.0
2023-09-16,HC Olomouc,BK Mladá Boleslav,2,3,0.4,0.4,2.0,2.5,2.5,3.4,-0.5,-0.9,0.5
2023-09-16,HC Energie Karlovy Vary,Mountfield HK,2,1,0.7,0.6875,3.2,2.5,3.125,2.625,0.7,0.5,0.5
2023-09-16,HC Motor České Budějovice,HC Energie Karlovy Vary,4,2,0.25,0.7,2.0,3.4,3.2,2.5,-1.4,0.7,0.5
2023-09-16,HC Energie Karlovy Vary,HC Sparta Praha,2,5,0.7,0.45,3.2,2.5,2.6,3.3,0.7,-0.7,0.75
2023-09-16,BK Mladá Boleslav,HC Oceláři Třinec,2,1,0.4,0.65,2.5,3.4,5.2,3.8,-0.9,1.4,0.0
2023-09-16,HC Oceláři Třinec,HC Škoda Plzeň,3,1,0.65,0.3,5.2,3.8,2.8,3.4,1.4,-0.6,0.16666666666666666
2023-09-17,HC Sparta Praha,HC Dynamo Pardubice,4,4,0.55,0.6,3.0,3.2,3.4,2.7,-0.2,0.7,0.5
2023-09-17,HC Dynamo Pardubice,HC Sparta Praha,3,0,0.6,0.55,3.4,2.7,3.0,3.2,0.7,-0.2,0.5
2023-09-17,Bílí Tygři Liberec,HC Litvínov,3,4,0.45,0.15,3.3,3.2,1.6,2.9,0.1,-1.3,1.0
2023-09-17,HC Vítkovice Ridera,HC Sparta Praha,4,2,0.6428571428571429,0.55,4.142857142857143,2.857142857142857,3.0,3.2,1.2857142857142858,-0.2,0.5
2023-09-17,HC Škoda Plzeň,Mountfield HK,3,1,0.3,0.6111111111111112,2.7,3.2,2.888888888888889,2.5555555555555554,-0.5,0.3333333333333333,0.5
2023-09-17,HC Sparta Praha,Rytíři Kladno,5,2,0.55,0.2777777777777778,3.0,3.2,1.6666666666666667,3.0,-0.2,-1.3333333333333333,0.5
2023-09-18,Mountfield HK,HC Motor České Budějovice,8,4,0.55,0.35,2.7,2.6,2.3,2.9,0.1,-0.6,0.0
2023-09-18,HC Energie Karlovy Vary,BK Mladá Boleslav,6,1,0.6,0.6,2.9,2.8,2.9,2.9,0.1,0.0,0.75
2023-09-18,Mountfield HK,HC Kometa Brno,3,4,0.55,0.75,2.7,2.6,3.5,2.6,0.1,0.9,0.5
2023-09-18,HC Sparta Praha,HC Oceláři Třinec,4,3,0.5,0.65,3.1,3.0,4.5,3.5,0.1,1.0,0.5
2023-09-18,HC Olomouc,Bílí Tygři Liberec,3,3,0.4,0.45,2.2,2.7,3.4,3.3,-0.5,0.1,0.0
2023-09-18,HC Litvínov,BK Mladá Boleslav,2,1,0.25,0.6,1.8,2.7,2.9,2.9,-0.9,0.0,1.0
2023-09-19,HC Škoda Plzeň,HC Kometa Brno,1,2,0.3,0.75,2.3,3.2,3.5,2.7,-0.9,0.8,0.5
2023-09-19,HC Oceláři Třinec,HC Motor České Budějovice,4,6,0.65,0.25,4.3,3.3,2.5,3.6,1.0,-1.1,1.0
2023-09-19,BK Mladá Boleslav,HC Motor České Budějovice,2,6,0.4,0.25,1.8,3.0,2.5,3.6,-1.2,-1.1,0.5
2023-09-19,Mountfield HK,HC Škoda Plzeň,3,3,0.45,0.3,2.7,2.7,2.3,3.2,0.0,-0.9,0.0
2023-09-19,Mountfield HK,HC Škoda Plzeň,3,5,0.45,0.3,2.7,2.7,2.3,3.2,0.0,-0.9,0.0
2023-09-19,HC Motor České Budějovice,HC Oceláři Třinec,2,2,0.25,0.65,2.5,3.6,4.3,3.3,-1.1,1.0,0.0
2023-09-20,HC Škoda Plzeň,HC Motor České Budějovice,5,0,0.45,0.5,2.5,2.6,3.3,3.3,-0.1,0.0,0.5
2023-09-20,Bílí Tygři Liberec,HC Energie Karlovy Vary,3,2,0.5,0.7,3.4,3.0,3.3,2.4,0.4,0.9,0.5
2023-09-20,Rytíři Kladno,HC Oceláři Třinec,1,3,0.25,0.55,1.7,3.2,3.8,3.2,-1.5,0.6,0.0
2023-09-20,Rytíři Kladno,HC Škoda Plzeň,1,1,0.25,0.45,1.7,3.2,2.5,2.6,-1.5,-0.1,1.0
2023-09-20,HC Energie Karlovy Vary,Rytíři Kladno,6,3,0.7,0.25,3.3,2.4,1.7,3.2,0.9,-1.5,1.0
2023-09-20,HC Škoda Plzeň,Mountfield HK,3,3,0.45,0.3,2.5,2.6,2.7,3.2,-0.1,-0.5,0.8333333333333334
2023-09-21,BK Mladá Boleslav,HC Dynamo Pardubice,2,6,0.35,0.7,1.9,3.5,3.4,2.2,-1.6,1.2,0.5
2023-09-21,HC Oceláři Třinec,HC Litvínov,1,2,0.55,0.35,3.5,2.9,1.8,2.5,0.6,-0.7,1.0
2023-09-21,Bílí Tygři Liberec,HC Sparta Praha,0,5,0.5,0.5,3.0,2.9,3.1,3.3,0.1,-0.2,1.0
2023-09-21,HC Kometa Brno,HC Motor České Budějovice,3,0,0.75,0.5,3.2,2.5,3.1,3.4,0.7,-0.3,1.0
2023-09-21,HC Olomouc,Bílí Tygři Liberec,6,2,0.35,0.5,2.1,2.8,3.0,2.9,-0.7,0.1,0.25
2023-09-21,HC Litvínov,HC Energie Karlovy Vary,3,2,0.35,0.6,1.8,2.5,3.5,2.6,-0.7,0.9,0.25
2023-09-22,HC Litvínov,HC Kometa Brno,2,5,0.55,0.8,2.2,2.4,3.1,2.1,-0.2,1.0,0.16666666666666666
2023-09-22,HC Energie Karlovy Vary,Bílí Tygři Liberec,9,2,0.55,0.45,3.4,2.6,2.6,3.2,0.8,-0.6,0.0
2023-09-22,HC Vítkovice Ridera,HC Kometa Brno,3,4,0.6875,0.8,4.125,2.75,3.1,2.1,1.375,1.0,0.5
2023-09-22,HC Olomouc,HC Vítkovice Ridera,3,4,0.45,0.6875,2.6,2.7,4.125,2.75,-0.1,1.375,0.5
2023-09-22,Rytíři Kladno,HC Dynamo Pardubice,1,3,0.25,0.75,1.7,3.3,3.6,2.0,-1.6,1.6,0.0
2023-09-22,HC Oceláři Třinec,Bílí Tygři Liberec,8,2,0.45,0.45,3.1,2.9,2.6,3.2,0.2,-0.6,0.5
2023-09-23,Mountfield HK,HC Energie Karlovy Vary,5,2,0.35,0.55,2.9,3.1,3.8,2.6,-0.2,1.2,0.0
2023-09-23,HC Oceláři Třinec,Bílí Tygři Liberec,5,2,0.45,0.3,3.3,2.8,2.2,4.4,0.5,-2.2,0.75
2023-09-23,Rytíři Kladno,HC Motor České Budějovice,2,6,0.25,0.45,1.6,3.2,2.8,3.4,-1.6,-0.6,0.5
2023-09-23,BK Mladá Boleslav,HC Škoda Plzeň,0,0,0.25,0.55,1.7,3.9,2.8,2.2,-2.2,0.6,0.8333333333333334
2023-09-23,HC Oceláři Třinec,HC Motor České Budějovice,4,0,0.45,0.45,3.3,2.8,2.8,3.4,0.5,-0.6,0.5
2023-09-23,HC Oceláři Třinec,HC Energie Karlovy Vary,6,2,0.45,0.55,3.3,2.8,3.8,2.6,0.5,1.2,1.0
2023-09-24,HC Oceláři Třinec,HC Sparta Praha,5,3,0.65,0.6,3.9,2.2,3.3,2.4,1.7,0.9,0.0
2023-09-24,HC Motor České Budějovice,Bílí Tygři Liberec,0,1,0.45,0.3,3.0,3.6,2.3,4.6,-0.6,-2.3,0.5
2023-09-24,HC Dynamo Pardubice,Bílí Tygři Liberec,6,2,0.8,0.3,3.7,1.9,2.3,4.6,1.8,-2.3,0.375
2023-09-24,HC Energie Karlovy Vary,Bílí Tygři Liberec,3,4,0.4,0.3,3.5,3.3,2.3,4.6,0.2,-2.3,0.5
2023-09-24,HC Dynamo Pardubice,HC Škoda Plzeň,9,7,0.8,0.55,3.7,1.9,2.5,1.9,1.8,0.6,1.0
2023-09-24,BK Mladá Boleslav,HC Oceláři Třinec,6,1,0.25,0.65,1.6,3.8,3.9,2.2,-2.2,1.7,0.3333333333333333
2023-09-25,HC Dynamo Pardubice,HC Vítkovice Ridera,1,2,0.9,0.65,4.5,2.3,4.0,2.9,2.2,1.1,0.5
2023-09-25,BK Mladá Boleslav,HC Škoda Plzeň,3,5,0.35,0.5,2.0,3.4,2.9,2.5,-1.4,0.4,0.75
2023-09-25,HC Motor České Budějovice,HC Škoda Plzeň,3,1,0.45,0.5,2.8,3.3,2.9,2.5,-0.5,0.4,0.0
2023-09-25,HC Kometa Brno,HC Vítkovice Ridera,3,3,0.9,0.65,3.2,1.7,4.0,2.9,1.5,1.1,1.0
2023-09-25,HC Olomouc,HC Sparta Praha,3,4,0.35,0.5,2.5,2.9,3.3,2.9,-0.4,0.4,0.0
2023-09-25,HC Škoda Plzeň,HC Oceláři Třinec,4,6,0.5,0.65,2.9,2.5,3.9,2.6,0.4,1.3,0.625
2023-10-01,HC Dynamo Pardubice,HC Vítkovice Ridera,5,4,0.8,0.75,4.2,2.5,4.0,2.6,1.7,1.4,0.0
2023-10-01,HC Sparta Praha,BK Mladá Boleslav,3,0,0.55,0.35,3.4,2.9,2.3,3.5,0.5,-1.2,1.0
2023-10-01,HC Litvínov,HC Motor České Budějovice,1,6,0.55,0.45,2.2,2.5,2.7,3.2,-0.3,-0.5,0.5
2023-10-01,BK Mladá Boleslav,HC Motor České Budějovice,2,0,0.35,0.45,2.3,3.5,2.7,3.2,-1.2,-0.5,0.3333333333333333
2023-10-01,HC Škoda Plzeň,Mountfield HK,3,6,0.5,0.45,3.4,3.1,3.3,3.0,0.3,0.3,0.75
2023-10-01,BK Mladá Boleslav,HC Olomouc,2,3,0.35,0.25,2.3,3.5,2.5,3.1,-1.2,-0.6,1.0
2023-10-02,HC Oceláři Třinec,HC Motor České Budějovice,2,2,0.75,0.45,4.1,2.4,2.3,2.3,1.7,0.0,0.625
2023-10-02,BK Mladá Boleslav,HC Litvínov,1,0,0.25,0.5,1.9,3.2,2.0,2.8,-1.3,-0.8,0.0
2023-10-02,HC Vítkovice Ridera,HC Sparta Praha,6,3,0.7,0.65,4.0,2.7,3.5,2.6,1.3,0.9,0.6666666666666666
2023-10-02,Rytíři Kladno,HC Energie Karlovy Vary,4,2,0.25,0.3,1.6,3.4,3.6,3.6,-1.8,0.0,0.0
2023-10-02,Mountfield HK,BK Mladá Boleslav,2,2,0.45,0.25,3.5,3.1,1.9,3.2,0.4,-1.3,0.5
2023-10-02,HC Olomouc,Mountfield HK,5,4,0.35,0.45,2.8,3.0,3.5,3.1,-0.2,0.4,0.0
2023-10-03,Mountfield HK,HC Olomouc,1,2,0.45,0.45,3.8,3.4,3.0,3.0,0.4,0.0,0.6666666666666666
2023-10-03,HC Motor České Budějovice,Mountfield HK,5,1,0.4,0.45,1.9,2.3,3.8,3.4,-0.4,0.4,0.5
2023-10-03,HC Dynamo Pardubice,Mountfield HK,3,3,0.8,0.45,4.5,2.8,3.8,3.4,1.7,0.4,1.0
2023-10-03,HC Oceláři Třinec,HC Litvínov,6,1,0.75,0.45,4.1,2.4,1.7,2.6,1.7,-0.9,0.5
2023-10-03,HC Litvínov,HC Sparta Praha,3,3,0.45,0.55,1.7,2.6,3.3,3.0,-0.9,0.3,0.0
2023-10-03,BK Mladá Boleslav,Rytíři Kladno,5,1,0.4,0.25,2.0,2.6,1.7,3.5,-0.6,-1.8,0.5
2023-10-04,HC Litvínov,HC Energie Karlovy Vary,1,3,0.5,0.3,2.0,3.0,3.6,3.6,-1.0,0.0,0.5
2023-10-04,HC Kometa Brno,BK Mladá Boleslav,4,2,0.85,0.5,3.3,2.0,2.3,2.1,1.3,0.2,0.5
2023-10-04,HC Oceláři Třinec,Rytíři Kladno,2,4,0.75,0.25,4.4,2.4,1.8,3.6,2.0,-1.8,1.0
2023-10-04,Bílí Tygři Liberec,HC Oceláři Třinec,2,4,0.35,0.75,2.1,4.7,4.4,2.4,-2.6,2.0,0.16666666666666666
2023-10-04,Rytíři Kladno,HC Oceláři Třinec,0,1,0.25,0.75,1.8,3.6,4.4,2.4,-1.8,2.0,0.0
2023-10-04,Mountfield HK,BK Mladá Boleslav,3,2,0.4,0.5,3.1,3.3,2.3,2.1,-0.2,0.2,0.5
2023-10-05,HC Sparta Praha,HC Litvínov,4,1,0.55,0.45,3.2,2.9,1.9,3.1,0.3,-1.2,0.8333333333333334
2023-10-05,HC Sparta Praha,HC Vítkovice Ridera,5,4,0.55,0.7,3.2,2.9,4.1,2.8,0.3,1.3,0.25
2023-10-05,HC Olomouc,HC Litvínov,1,1,0.55,0.45,3.1,2.8,1.9,3.1,0.3,-1.2,0.5
2023-10-05,Rytíři Kladno,HC Vítkovice Ridera,3,4,0.25,0.7,1.9,3.4,4.1,2.8,-1.5,1.3,0.5
2023-10-05,BK Mladá Boleslav,HC Sparta Praha,1,2,0.45,0.55,2.5,2.2,3.2,2.9,0.3,0.3,0.0
2023-10-05,BK Mladá Boleslav,HC Motor České Budějovice,1,3,0.45,0.45,2.5,2.2,2.2,2.2,0.3,0.0,0.5
2023-10-06,HC Škoda Plzeň,HC Sparta Praha,3,5,0.45,0.75,3.4,3.4,3.6,2.6,0.0,1.0,1.0
2023-10-06,HC Energie Karlovy Vary,Bílí Tygři Liberec,2,6,0.4,0.3,3.7,3.2,2.0,4.8,0.5,-2.8,0.3333333333333333
2023-10-06,HC Sparta Praha,HC Motor České Budějovice,4,3,0.75,0.55,3.6,2.6,2.5,1.8,1.0,0.7,1.0
2023-10-06,HC Vítkovice Ridera,HC Motor České Budějovice,2,6,0.65,0.55,4.3,3.2,2.5,1.8,1.1,0.7,0.5
